1,a vehicle
2,an automobile
3,a car
4,a bus
5,a truck
6,a bicycle
7,an airplane
8,an ambulance
9,a golf cart
10,a toy car
11,a moped
12,a helicopter
13,a carriage
14,a WWII truck
15,a wheelchair
16,a canoe
17,a skateboard
18,a life raft
19,a stroller
20,a drone
21,roller-skates
22,a pogo stick
23,a zip line
24,a baby carrier
25,crutches
26,an aircraft
27,a vessel
28,a rocket
29,a means of transportation
30,a conveyance
31,a motorcar
32,a sedan
33,a pickup
34,a tractor
35,a motorbike
36,a limousine
37,a microcar
38,a three-wheeler
39,an amphibious car
40,a stretch limo
41,a coach
42,a trolleybus
43,a horse-drawn carriage
44,a hackney coach
45,a trackless train
46,a lorry
47,a hauler
48,a rig
49,a semi
50,a wagon
51,a bike
52,a tandem
53,a two-wheeler
54,a cargo bike
55,a pedalo
56,an airliner
57,a jet
58,a plane
59,a supersonic
60,a glider
61,an EMS
62,a rescue
63,a hospital wagon
64,an ambulette
65,a hearse
66,a golf buggy
67,a golf trolley
68,a caddie cart
69,a motorcaddy
70,an airport caddy
71,a soapbox
72,a go kart
73,a bumper car
74,a roller coaster
75,a tilt-a-whirl
76,a chopper
77,a hog
78,a scooter
79,an enduro
80,a dirt bike
81,a chopper
82,a copter
83,an eggbeater
84,an autogiro
85,a whirlybird
86,a jitney
87,an equipage
88,a charabanc
89,a four-in-hand
90,a rickshaw
91,a tank
92,a cruiser
93,a bulldozer
94,a gadfly air defense system
95,an all-terrain-vhicle
96,a rollator
97,a walking aid
98,a mobility scooter
99,a walking frame
100,an electric wheelchair
101,a kayak
102,an outrigger
103,a coracle
104,a dugout
105,a pirogue
106,an e-scooter
107,a segway
108,a flexboard
109,a monocycle
110,a three-wheeler
111,a lifeboat
112,a skiff
113,a dinghy
114,a rubber boat
115,a surfboard
116,a buggy
117,a pram
118,a pushchair
119,a baby carriage
120,a handcart
121,a pilotless aircraft
122,a remote control car
123,a remote control boat
124,a robomower
125,a pool roboter
126,inline skaters
127,rollerblades
128,skis
129,a snowboard
130,a sleigh
131,a space hopper
132,a jumping pole
133,a stand up paddle board
134,a rowing boat
135,a waterglider
136,a ropeway
137,an aerial cable
138,a chain ferry
139,a cable car
140,a ski lift
141,baby car seat
142,baby sling
143,baby backpack
144,cradle
145,bobby car
146,stilts
147,stick
148,walking sticks
149,climbing aid
150,climbing harness
